source_row_index,place_id,custom_id,embedding_row,has_embedding,embedding_text_hash,error,usage_total_tokens
2828,14046387719142005202,location_2828_14046387719142005202,2828,True,,,
2829,14048462954602371132,location_2829_14048462954602371132,2829,True,,,
2830,14049685486032719847,location_2830_14049685486032719847,2830,True,,,
2831,14049730412871999349,location_2831_14049730412871999349,2831,True,,,
2832,14052239083676441655,location_2832_14052239083676441655,2832,True,,,
2833,14052626007134469074,location_2833_14052626007134469074,2833,True,,,
2834,14054103045066085396,location_2834_14054103045066085396,2834,True,,,
2835,14056554276860477134,location_2835_14056554276860477134,2835,True,,,
2836,14056639229512113878,location_2836_14056639229512113878,2836,True,,,
2837,14056784268346341200,location_2837_14056784268346341200,2837,True,,,
2838,14061388228645026881,location_2838_14061388228645026881,2838,True,,,
2839,14065807830367404938,location_2839_14065807830367404938,2839,True,,,
2840,14067273973176278255,location_2840_14067273973176278255,2840,True,,,
2841,14069226448598658712,location_2841_14069226448598658712,2841,True,,,
2842,1407264576476988866,location_2842_1407264576476988866,2842,True,,,
2843,14073547320722562869,location_2843_14073547320722562869,2843,True,,,
2844,14073974848506031233,location_2844_14073974848506031233,2844,True,,,
2845,14074707290625440510,location_2845_14074707290625440510,2845,True,,,
2846,14075515238818608460,location_2846_14075515238818608460,2846,True,,,
2847,14077642277514122049,location_2847_14077642277514122049,2847,True,,,
2848,14078330874103967942,location_2848_14078330874103967942,2848,True,,,
2849,1408062021650396916,location_2849_1408062021650396916,2849,True,,,
2850,14081645962183876545,location_2850_14081645962183876545,2850,True,,,
2851,14083550617193651809,location_2851_14083550617193651809,2851,True,,,
2852,14084468353823525971,location_2852_14084468353823525971,2852,True,,,
2853,14087566589880632741,location_2853_14087566589880632741,2853,True,,,
2854,14087753719600873757,location_2854_14087753719600873757,2854,True,,,
2855,14088264298121038474,location_2855_14088264298121038474,2855,True,,,
2856,14088645058935884391,location_2856_14088645058935884391,2856,True,,,
2857,14089249737613273751,location_2857_14089249737613273751,2857,True,,,
2858,14093534131576012199,location_2858_14093534131576012199,2858,True,,,
2859,14098613421322184234,location_2859_14098613421322184234,2859,True,,,
2860,14098775732720771369,location_2860_14098775732720771369,2860,True,,,
2861,14099788159838367528,location_2861_14099788159838367528,2861,True,,,
2862,14099823804846966764,location_2862_14099823804846966764,2862,True,,,
2863,1410292287685968269,location_2863_1410292287685968269,2863,True,,,
2864,14104888612212615785,location_2864_14104888612212615785,2864,True,,,
2865,14105136652325561547,location_2865_14105136652325561547,2865,True,,,
2866,14106012906807530710,location_2866_14106012906807530710,2866,True,,,
2867,14106452106507370689,location_2867_14106452106507370689,2867,True,,,
2868,14106717488155467686,location_2868_14106717488155467686,2868,True,,,
